VB,VBZ,VBG,VBD,VBN,OR,prefix.class,functional,rule,comments
ARISE,ARISES,ARISING,AROSE,ARISEN,ARISED,RISE,FALSE,OW -@,
AWAKE,AWAKES,AWAKING,AWOKE,AWOKEN,AWAKED,WAKE,FALSE,OW -@,
BEAR,BEARS,BEARING,BORE,BORNE,BEARED,,FALSE,AO -@,
BEAT,BEATS,BEATING,BEAT,BEAT,BEATED,,FALSE,no change -@,
BECOME,BECOMES,BECOMING,BECAME,BECOME,BECOMED,COME,FALSE,EY -@,
BEFALL,BEFALLS,BEFALLING,BEFELL,BEFALLEN,BEFALLED,FALL,FALSE,EH -@,
BEGIN,BEGINS,BEGINNING,BEGAN,BEGUN,BEGINED,,FALSE,AE -@,
BEHOLD,BEHOLDS,BEHOLDING,BEHELD,BEHELD,BEHOLDED,HOLD,FALSE,EH -@,
BEND,BENDS,BENDING,BENT,BENT,BENDED,,FALSE,no change -t,
BESET,BESETS,BESETTING,BESET,BESET,BESETTED,SET,FALSE,no change -@,
BIND,BINDS,BINDING,BOUND,BOUND,BINDED,,FALSE,AW -@,
BITE,BITES,BITING,BIT,BITTEN,BITED,,FALSE,shortening -@,
BLEED,BLEEDS,BLEEDING,BLED,BLED,BLEEDED,,FALSE,shortening -@,
BLOW,BLOWS,BLOWING,BLEW,BLOWN,BLOWED,,FALSE,UW -@,
BREAK,BREAKS,BREAKING,BROKE,BROKEN,BREAKED,,FALSE,OW -@,
BREED,BREEDS,BREEDING,BRED,BRED,BREEDED,,FALSE,shortening -@,
BRING,BRINGS,BRINGING,BROUGHT,BROUGHT,BRINGED,,FALSE,aught -t,
BUILD,BUILDS,BUILDING,BUILT,BUILT,BUILDED,,FALSE,no change -t,
BURST,BURSTS,BURSTING,BURST,BURST,BURSTED,,FALSE,no change -@,
BUY,BUYS,BUYING,BOUGHT,BOUGHT,BUYED,,FALSE,aught -t,
CAST,CASTS,CASTING,CAST,CAST,CASTED,,FALSE,no change -@,
CATCH,CATCHES,CATCHING,CAUGHT,CAUGHT,CATCHED,,FALSE,aught -t,
CHOOSE,CHOOSES,CHOOSING,CHOSE,CHOSEN,CHOOSED,,FALSE,OW -@,
CLING,CLINGS,CLINGING,CLUNG,CLUNG,CLINGED,,FALSE,AH -@,
COME,COMES,COMING,CAME,COME,COMED,COME,FALSE,EY -@,
COST,COSTS,COSTING,COST,COST,COSTED,,FALSE,no change -@,
CUT,CUTS,CUTTING,CUT,CUT,CUTTED,,FALSE,no change -@,
DEAL,DEALS,DEALING,DEALT,DEALT,DEALED,,FALSE,shortening -t,
DIG,DIGS,DIGGING,DUG,DUG,DIGGED,,FALSE,AH -@,
DRAW,DRAWS,DRAWING,DREW,DRAWN,DRAWED,DRAW,FALSE,UW -@,
DRINK,DRINKS,DRINKING,DRANK,DRUNK,DRINKED,,FALSE,AE -@,
DRIVE,DRIVES,DRIVING,DROVE,DRIVEN,DRIVED,,FALSE,OW -@,
EAT,EATS,EATING,ATE,EATEN,EATED,,FALSE,EY -@,
FALL,FALLS,FALLING,FELL,FALLEN,FALLED,FALL,FALSE,EH -@,
FEED,FEEDS,FEEDING,FED,FED,FEEDED,,FALSE,shortening -@,
FEEL,FEELS,FEELING,FELT,FELT,FEELED,,FALSE,shortening -t,
FIGHT,FIGHTS,FIGHTING,FOUGHT,FOUGHT,FIGHTED,,FALSE,AO -@,
FIND,FINDS,FINDING,FOUND,FOUND,FINDED,,FALSE,AW -@,
FLEE,FLEES,FLEEING,FLED,FLED,FLEED,,FALSE,shortening -d,
FLING,FLINGS,FLINGING,FLUNG,FLUNG,FLINGED,,FALSE,AH -@,
FLY,FLIES,FLYING,FLEW,FLOWN,FLIED,,FALSE,UW -@,
FLY,FLIES,FLYING,FLEW,FLOWN,FLYED,,FALSE,UW -@,
FORBID,FORBIDS,FORBIDDING,FORBADE,FORBIDDEN,FORBIDDED,,FALSE,no change -@,
FORGET,FORGETS,FORGETTING,FORGOT,FORGOTTEN,FORGETTED,GET,FALSE,AA -@,
FORGIVE,FORGIVES,FORGIVING,FORGAVE,FORGIVEN,FORGIVED,,FALSE,EY -@,
FREEZE,FREEZES,FREEZING,FROZE,FROZEN,FREEZED,,FALSE,OW -@,
GIVE,GIVES,GIVING,GAVE,GIVEN,GIVED,GIVE,FALSE,EY -@,
GET,GETS,GETTING,GOT,GOT,GETTED,GET,TRUE,AA -@,
GO,GOES,GOING,WENT,GONE,GOED,GO,TRUE,went suppletion,“gotten” is rare
GROW,GROWS,GROWING,GREW,GROWN,GROWED,,FALSE,UW -@,
HANG,HANGS,HANGING,HUNG,HUNG,HANGED,,FALSE,AH -@,
HAVE,HAS,HAVING,HAD,HAD,HAVED,,TRUE,made/had -d,“hanged” exists in another sense (rare in child speech)
HEAR,HEARS,HEARING,HEARD,HEARD,HEARED,,FALSE,ER -d,
HIDE,HIDES,HIDING,HID,HIDDEN,HIDED,,FALSE,shortening -@,
HIT,HITS,HITTING,HIT,HIT,HITTED,,FALSE,no change -@,
HOLD,HOLDS,HOLDING,HELD,HELD,HOLDED,HOLD,FALSE,EH -@,
HURT,HURTS,HURTING,HURT,HURT,HURTED,,FALSE,no change -@,
KEEP,KEEPS,KEEPING,KEPT,KEPT,KEEPED,,FALSE,shortening -t,
KNOW,KNOWS,KNOWING,KNEW,KNOWN,KNOWED,,FALSE,UW -@,
LEAD,LEADS,LEADING,LEAD,LED,LEADED,,FALSE,shortening -@,
LEAVE,LEAVES,LEAVING,LEFT,LEFT,LEAVED,,FALSE,shortening -t,
LEND,LENDS,LENDING,LENT,LENT,LENDED,,FALSE,no change -t,
LET,LETS,LETTING,LET,LET,LETTED,,FALSE,no change -@,
LOSE,LOSES,LOSING,LOST,LOST,LOSED,,FALSE,AO -t,
MAKE,MAKES,MAKING,MADE,MADE,MAKED,,FALSE,made/had -d,
MEAN,MEANS,MEANING,MEANT,MEANT,MEANED,,FALSE,shortening -t,
MEET,MEETS,MEETING,MET,MET,MEETED,,FALSE,shortening -@,
MISTAKE,MISTAKES,MISTAKING,MISTOOK,MISTAKEN,MISTAKED,TAKE,FALSE,UW -@,
OVERCOME,OVERCOMES,OVERCOMING,OVERCAME,OVERCOME,OVERCOMED,COME,FALSE,EY -@,
OVERTAKE,OVERTAKES,OVERTAKING,OVERTOOK,OVERTAKEN,OVERTAKED,TAKE,FALSE,UW -@,
OVERTHROW,OVERTHROWS,OVERTHROWING,OVERTHREW,OVERTHROWN,OVERTHROWED,THROW,FALSE,UW -@,
PUT,PUTS,PUTTING,PUT,PUT,PUTTED,,FALSE,no change -@,
QUIT,QUITS,QUITTING,QUIT,QUIT,QUITTED,,FALSE,no change -@,
READ,READS,READING,READ,READ,READED,,FALSE,shortening -@,
RIDE,RIDES,RIDING,RID,RIDDEN,RIDED,,FALSE,OW -@,
RISE,RISES,RISING,ROSE,RISEN,RISED,RISE,FALSE,OW -@,
RUN,RUNS,RUNNING,RAN,RUN,RUNNED,,FALSE,AE -@,
SAY,SAYS,SAYING,SAID,SAID,SAYED,,FALSE,EH -d,
SEEK,SEEKS,SEEKING,SOUGHT,SOUGHT,SEEKED,,FALSE,aught -t,
SELL,SELLS,SELLING,SOLD,SOLD,SELLED,,FALSE,OW -d,
SEND,SENDS,SENDING,SENT,SENT,SENDED,,FALSE,no change -t,
SET,SETS,SETTING,SET,SET,SETTED,SET,FALSE,no change -@,
SHAKE,SHAKES,SHAKING,SHOOK,SHAKEN,SHAKED,,FALSE,UH -@,
SHOOT,SHOOTS,SHOOTING,SHOT,SHOT,SHOOTED,,FALSE,AA -@,
SHRINK,SHRINKS,SHRINKING,SHRUNK,SHRUNK,SHRINKED,,FALSE,AE -@,
SHUT,SHUTS,SHUTTING,SHUT,SHUT,SHUTTED,,FALSE,no change -@,
SINK,SINKS,SINKING,SANK,SUNK,SINKED,,FALSE,AE -@,
SING,SINGS,SINGING,SANG,SUNG,SINGED,,FALSE,AH -@,
SIT,SITS,SITTING,SIT,SAT,SITTED,,FALSE,AE -@,"note also ""singe""-""singed"""
SLAY,SLAYS,SLAYING,SLEW,SLAIN,SLAYED,,FALSE,UW -@,
SLEEP,SLEEPS,SLEEPING,SLEPT,SLEPT,SLEEPED,,FALSE,shortening -t,
SLIDE,SLIDES,SLIDING,SLID,SLID,SLIDED,,FALSE,shortening -@,
SLING,SLINGS,SLINGING,SLUNG,SLUNG,SLINGED,,FALSE,AH -@,
SLIT,SLITS,SLITTING,SLIT,SLIT,SLITTED,,FALSE,no change -@,
SMITE,SMITES,SMITING,SMOTE,SMITTEN,SMITED,,FALSE,OW -@,
SPEAK,SPEAKS,SPEAKING,SPOKE,SPOKEN,SPEAKED,,FALSE,OW -@,
SPEND,SPENDS,SPENDING,SPENT,SPENT,SPENDED,,FALSE,no change -t,
SPIN,SPINS,SPINNING,SPUN,SPUN,SPINNED,,FALSE,AH -@,
SPIT,SPITS,SPITTING,SPIT,SPIT,SPITTED,,FALSE,no change -@,
SPLIT,SPLITS,SPLITTING,SPLIT,SPLIT,SPLITTED,,FALSE,no change -@,also “spat” as VBD=VBN
SPREAD,SPREADS,SPREADING,SPREAD,SPREAD,SPREADED,,FALSE,no change -@,
SPRING,SPRINGS,SPRINGING,SPRUNG,SPRUNG,SPRINGED,,FALSE,AE -@,
STAND,STANDS,STANDING,STOOD,STOOD,STANDED,STAND,FALSE,stood -@,
STEAL,STEALS,STEALING,STOLE,STOLEN,STEALED,,FALSE,OW -@,
STICK,STICKS,STICKING,STUCK,STUCK,STICKED,,FALSE,AH -@,
STING,STINGS,STINGING,STUNG,STUNG,STINGED,,FALSE,AH -@,
STINK,STINKS,STINKING,STUNK,STUNK,STINKED,,FALSE,AE -@,
STRING,STRINGS,STRINGING,STRUNG,STRUNG,STRINGED,,FALSE,AH -@,
STRIDE,STRIDES,STRIDING,STRODE,STRIDDEN,STRIDED,,FALSE,OW -@,
STRIKE,STRIKES,STRIKING,STRUCK,STRUCK,STRIKED,,FALSE,AH -@,"*”stridden”, really"
STRIVE,STRIVES,STRIVING,STROVE,STRIVEN,STRIVED,,FALSE,OW -@,
SWEAR,SWEARS,SWEARING,SWORE,SWORN,SWEARED,,FALSE,AO -@,
SWEEP,SWEEPS,SWEEPING,SWEPT,SWEPT,SWEEPED,,FALSE,shortening -t,
SWIM,SWIMS,SWIMING,SWAM,SWUM,SWIMMED,,FALSE,AE -@,
SWING,SWINGS,SWINGING,SWUNG,SWUNG,SWINGED,,FALSE,AH -@,
TAKE,TAKES,TAKING,TOOK,TAKEN,TAKED,TAKE,FALSE,UW -@,
TEACH,TEACHES,TEACHING,TAUGHT,TAUGHT,TEACHED,,FALSE,aught -t,
TEAR,TEARS,TEARING,TORE,TORN,TEARED,,FALSE,AO -@,
TELL,TELLS,TELLING,TOLD,TOLD,TELLED,,FALSE,OW -d,"but note “teared up”, etc."
THINK,THINKS,THINKING,THOUGHT,THOUGHT,THINKED,,FALSE,aught -t,
THROW,THROWS,THROWING,THREW,THROWN,THROWED,,FALSE,UW -@,
UNDERGO,UNDERGOES,UNDERGOING,UNDERWENT,UNDERGONE,UNDERGOED,GO,FALSE,went suppletion,
UNDERSTAND,UNDERSTANDS,UNDERSTANDING,UNDERSTOOD,UNDERSTOOD,UNDERSTANDED,STAND,FALSE,stood -@,
UPHOLD,UPHOLDS,UPHOLDING,UPHELD,UPHELD,UPHOLDED,HOLD,FALSE,EH -@,
UPSET,UPSETS,UPSETTING,UPSET,UPSET,UPSETTED,SET,FALSE,no change -@,
WAKE,WAKES,WAKING,WOKE,WOKEN,WAKED,WAKE,FALSE,OW -@,
WEAR,WEARS,WEARING,WORE,WORN,WEARED,,FALSE,AO -@,
WEEP,WEEPS,WEEPING,WEPT,WEPT,WEEPED,,FALSE,shortening -t,
WIN,WINS,WINNING,WON,WON,WINNED,,FALSE,AH -@,
WITHDRAW,WITHDRAWS,WITHDRAWING,WITHDREW,WITHDRAWN,WITHDRAWED,DRAW,FALSE,UW -@,
WITHHOLD,WITHHOLDS,WITHHOLDING,WITHHELD,WITHHELD,WITHHOLDED,HOLD,FALSE,EH -@,
WITHSTAND,WITHSTANDS,WITHSTANDING,WITHSTOOD,WITHSTOOD,WITHSTANDED,STAND,FALSE,stood -@,
WRITE,WRITES,WRITING,WROTE,WRITTEN,WRITED,,FALSE,OW -@,
